City,Latitude,Longitude
Casablanca,33.5333,-7.5833
El Kelaa des Srarhna,32.0481,-7.4083
Fès,34.0433,-5.0033
Tangier,35.7767,-5.8039
Marrakech,31.63,-8.0089
Sale,34.0333,-6.8
Mediouna,33.45,-7.51
Rabat,34.0209,-6.8416
Meknès,33.895,-5.5547
Oujda-Angad,34.6867,-1.9114
Kenitra,34.25,-6.5833
Agadir,30.4333,-9.6
Tétouan,35.5667,-5.3667
Taourirt,34.4169,-2.885
Temara,33.9267,-6.9122
Safi,32.2833,-9.2333
Khénifra,32.9394,-5.6675
Laâyoune,27.1536,-13.2033
Mohammedia,33.6833,-7.3833
Kouribga,32.8833,-6.9167
El Jadid,33.2333,-8.5
Béni Mellal,32.3394,-6.3608
Ait Melloul,30.3342,-9.4972
Nador,35.1667,-2.9333
Taza,34.2167,-4.0167
Settat,33,-7.6167
Barrechid,33.2667,-7.5833
Al Khmissat,33.8167,-6.0667
Inezgane,30.3658,-9.5381
Ksar El Kebir,35.009,-5.9
Larache,35.1833,-6.15
Guelmim,28.9833,-10.0667
Berkane,34.9167,-2.3167
Khemis Sahel,35.25,-6.0833
Ad Dakhla,23.7081,-15.9456
Bouskoura,33.4489,-7.6486
Al Fqih Ben Çalah,32.5,-6.5333
Oued Zem,32.8667,-6.5667
Sidi Slimane,34.26,-5.92
Errachidia,31.9319,-4.4244
Guercif,34.2333,-3.3667
Oulad Teïma,30.4,-9.2167
Ben Guerir,32.23,-7.95
Sefrou,33.83,-4.83
Fnidq,35.85,-5.35
Sidi Qacem,34.2167,-5.7
Moulay Abdallah,33.1978,-8.5883
Youssoufia,32.25,-8.5333
Martil,35.6167,-5.2667
Aïn Harrouda,33.6372,-7.4483
Skhirate,33.85,-7.03
Ouezzane,34.8,-5.5833
Sidi Yahya Zaer,33.7105,-6.8831
Al Hoceïma,35.2472,-3.9322
M’diq,35.6858,-5.3253
Sidi Bennour,32.65,-8.4333
Midalt,32.68,-4.73
Azrou,33.4417,-5.2247
My Drarga,30.38,-9.48
Ain El Aouda,33.8111,-6.7922
Beni Yakhlef,33.6555,-7.3221
Ad Darwa,33.4167,-7.5333
Al Aaroui,35.0029,-3.0311
Qasbat Tadla,32.6,-6.2667
Boujad,32.7667,-6.4
Jerada,34.3117,-2.1636
Mrirt,33.1667,-5.5667
El Aïoun,34.5852,-2.5056
Azemmour,33.2878,-8.3422
Temsia,30.36,-9.414
Zagora,30.3306,-5.8381
Ait Ourir,31.5644,-7.6628
Aziylal,31.9669,-6.5694
Sidi Yahia El Gharb,34.3058,-6.3058
Biougra,30.2144,-9.3708
Zaïo,34.9333,-2.7333
Aguelmous,33.15,-5.8333
El Hajeb,33.6928,-5.3711
Zeghanghane,35.15,-3
Imzouren,35.15,-3.85
Tit Mellil,33.5533,-7.4822
Mechraa Bel Ksiri,34.56,-5.95
Al ’Attawia,31.8347,-7.3125
Demnat,31.7311,-7.0361
Arfoud,31.4361,-4.2328
Tameslouht,31.5,-8.1
Bou Arfa,32.5309,-1.965
Sidi Smai’il,32.8167,-8.5
Souk et Tnine Jorf el Mellah,34.4833,-5.5169
Mehdya,34.2597,-6.65
Aïn Taoujdat,33.9333,-5.2167
Chichaoua,31.5333,-8.7667
Tahla,34.05,-4.42
Oulad Yaïch,32.4167,-6.3333
Moulay Bousselham,34.8786,-6.2933
Iheddadene,35.15,-2.9667
Missour,33.05,-3.9833
Zawyat ech Cheïkh,32.6414,-5.9206
Bouknadel,34.1333,-6.7333
Oulad Tayeb,33.9598,-4.9954
Oulad Barhil,30.6408,-8.475
Bir Jdid,33.3737,-8.0002
Tifariti,26.158,-10.567
Bni Bouayach,35.1019,3.8426
Al Haouz,30.9682,-8.3749
Oukaimeden,31.022,-8.4543
Taroudant,30.4727,-8.87695
Tirhanimîne,35.23619,-3.95453
Caïdat Dir,33.732335,-5.526881